,File,Analysis,Decoded State (Start),Decoded State (Stop),Transition Direction,Change Point Time (s),Counts (Mean),Counts (Variance),Counts (Sum),Counts (Min),Counts (Max),Duration (Number of Bins),Duration (us),Coefficient of Dispersion,Sample Size Error (%),Number of Bead States,Input Bead Arrival Rate (/s),Input Probability Stay Background,Input Bead Transit Time (us),Input Probability Stay Bead,Bin Width (s),Input lambda0 (/s),Input lambda1 (/s),h_i,h_d
40,med,HMMViterbi,1,3,1.0,0.048742999999999995,2.0,2.761904761904762,44.0,0.0,5.0,22.0,22.0,1.380952380952381,21.320071635561042,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
41,med,HMMViterbi,0,0,-1.0,0.048764999999999996,0.22033898305084745,0.22096199619802234,234.0,0.0,3.0,1062.0,1062.0,1.002827521206409,3.068582059661078,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
42,med,HMMViterbi,1,3,1.0,0.049826999999999996,1.0952380952380953,0.6904761904761905,23.0,0.0,3.0,21.0,21.0,0.6304347826086956,21.821789023599237,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
43,med,HMMViterbi,0,0,-1.0,0.049847999999999996,0.2821917808219178,0.28788545013811373,206.0,0.0,3.0,730.0,730.0,1.0201765951496262,3.7011660509880264,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
44,med,HMMViterbi,1,3,1.0,0.050578,1.6666666666666667,2.8405797101449273,40.0,0.0,6.0,24.0,24.0,1.7043478260869562,20.41241452319315,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
45,med,HMMViterbi,0,0,-1.0,0.050602,0.24226705091258405,0.25048063966165096,1261.0,0.0,4.0,5205.0,5205.0,1.0339030368270368,1.3860842640098179,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
46,med,HMMViterbi,1,3,1.0,0.055806999999999995,1.05,1.2078947368421054,21.0,0.0,4.0,20.0,20.0,1.150375939849624,22.360679774997898,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
47,med,HMMViterbi,0,0,-1.0,0.055826999999999995,0.24351050679851668,0.23991150560827476,788.0,0.0,3.0,3236.0,3235.9999999999995,0.9852203453659608,1.7579063848365752,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
48,med,HMMViterbi,1,3,1.0,0.059063,2.090909090909091,2.4675324675324677,46.0,0.0,6.0,22.0,22.0,1.1801242236024847,21.320071635561042,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
49,med,HMMViterbi,0,0,-1.0,0.059085,0.23335669236159776,0.24766366732813733,666.0,0.0,3.0,2854.0,2853.9999999999995,1.061309469301057,1.8718584988357507,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
